what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413080308394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080316153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080316163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080317629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080317638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080334419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080335839
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080343581
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080344242
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080350083
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080353686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413080358935
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080365248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080366198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080367499
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080367510
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413080368360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080371615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080377384
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1413080377391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1413080377391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080377405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080377727
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080381989
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1413080386787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080406988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413080406998
